Headword,Related word forms,SFI,U,D
diagram,"diagrammed, diagramming, diagrams",57.785,60,8.157
dialect,dialects,56.884,49,7.714
diameter,diameters,58.256,67,6.894
diary,diaries,52.865,19,7.785
dictate,"dictated, dictates, dictating",52.435,18,9.758
dictionary,dictionaries,55.096,32,7.628
differential,differentials,59.041,80,9.071
differentiate,"differentiated, differentiates, differentiating",56.788,48,9.259
differentiation,differentiations,56.646,46,7.765
diffusion,diffusions,56.827,48,8.001
dilemma,dilemmas,54.174,26,8.712
dilute,"diluted, dilutes, diluting",52.011,16,8.967
dimensional,,54.502,28,8.454
dioxide,dioxides,51.598,14,7.879
directive,directives,52.227,17,7.768
disability,disabilities,56.073,40,8.255
disadvantage,"disadvantaged, disadvantages, disadvantaging",55.045,32,9.232
discharge,"discharged, discharges, discharging",56.443,44,8.758
discourse,"discoursed, discourses, discoursing",61.513,142,725
discrete,,57.08,51,7.083
discrimination,discriminations,55.907,39,7.152
displacement,displacements,54.804,30,528
dissection,dissections,48.318,7,5.207
dissertation,dissertations,54.116,26,8.053
dissolve,"dissolved, dissolves, dissolving",53.089,20,8.942
distribution,distributions,65.665,369,6.863
disturbance,disturbances,57.225,53,7.012
diverse,,57.487,56,9.161
domain,domains,63.467,222,8.276
dominance,,55.714,37,8.831
dominant,,59.25,84,9.491
domination,,51.657,15,0.8
donor,donors,55.438,35,7.892
dose,"dosed, doses, dosing",58.711,74,4.055
drain,"drained, draining, drains",50.892,12,8.159
drift,"drifted, drifting, drifts",54.515,28,8.718
duration,durations,59.577,91,7.303
dye,"dyed, dyeing, dyes",52.027,16,9.061
dynamic,dynamics,63.506,224,8.548
ecological,,56.43,44,8.968
ecology,ecologies,56.49,45,8.148
economically,,51.967,16,9.061
economist,economists,54.069,26,6.486
effectiveness,,57.05,51,7.654
elaborate,"elaborated, elaborates, elaborating",55.732,37,8.719
elastic,elastics,52.487,18,6.915
elasticity,elasticities,52.537,18,8.189
electron,electrons,61.413,138,7.375
elementary,,53.881,24,8.476
elevate,"elevated, elevates, elevating",55.405,35,7.747
elevation,elevations,53.792,24,7.844
elimination,eliminations,53.61,23,8.172
elite,elites,58.631,73,8.796
embed,"embedded, embedding, embeds",57.724,59,9.091
emergence,,58.201,66,8.073
emission,emissions,57.265,53,8.481
emit,"emits, emitted, emitting",51.536,14,6.208
emperor,emperors,50.699,12,6.607
empirical,,60.149,103,8.782
encode,"encoded, encodes, encoding",58.441,70,7.687
enforcement,,52.394,17,7.283
enormously,,47.123,5,9.399
entity,entities,57.57,57,8.949
entrant,entrants,42.98,2,3.343
enzyme,enzymes,58.051,64,4.758
epidemic,epidemics,53.131,21,813
epidemiology,,53.092,20,7.838
equality,equalities,57.621,58,8.609
equilibrium,,59.952,99,8.522
equivalence,equivalences,56.343,43,6.414
erase,"erased, erases, erasing",48.677,7,8.308
essence,essences,54.607,29,9.203
essentially,,58.934,78,9.491
estimation,estimations,57.802,60,6.642
ethical,,56.936,49,7.985
ethics,ethic,55.981,40,8.739
evident,,58.121,65,8.839
evolutionary,,57.866,61,8.318
ex,exes,58.029,64,959
execute,"executed, executes, executing",54.26,27,8.167
execution,executions,55.13,33,8.875
exit,"exited, exiting, exits",53.608,23,949
expertise,expertises,53.944,25,8.926
explicit,,59.389,87,8.943
explicitly,,58.124,65,8.953
exploit,"exploited, exploiting, exploits",56.397,44,9.369
exponential,exponentials,54.668,29,7.166
fabric,fabrics,51.498,14,7.739
facet,"faceted, faceting, facets",50.286,11,8.122
facilitate,"facilitated, facilitates, facilitating",58.438,70,7.929
factorial,factorials,46.511,4,4.714
faculty,faculties,53.282,21,8.232
fatigue,"fatigued, fatigues, fatiguing",53.04,20,8.387
feedback,feedbacks,57.858,61,7.859
fertility,,56.559,45,8.649
fetal,foetal,56.908,49,6.596
fever,"fevered, fevers",52.821,19,6.019
fiber,"fibers, fibre, fibres",57.559,57,682
fin,fins,49.87,10,7.784
finite,,61.478,141,6.568
flesh,"fleshed, fleshes, fleshing",49.42,9,7.707
flexibility,flexibilities,53.873,24,9.468
flip,"flipped, flipping, flips",48.002,6,8.409
fluid,fluids,61.211,132,7.253
flux,"fluxed, fluxes, fluxing",55.415,35,7.009
footnote,"footnoted, footnotes",51.484,14,6.435
formally,,54.634,29,9.221
formulation,formulations,56.885,49,8.244
forum,"fora, forums",51.173,13,8.336
fossil,fossils,54.503,28,7.621
founds,"founded, founding",50.854,12,7.791
fraction,fractions,57.805,60,8.399
fracture,"fractured, fractures, fracturing",53.209,21,6.649
freely,,53.817,24,9.075
friction,frictions,52.36,17,6.119
fringe,"fringed, fringes, fringing",49.598,9,5.806
fundamentally,,52.651,18,9.356
fungus,fungi,51.493,14,5.668
fusion,fusions,56.797,48,7.116
gauge,"gage, gaged, gages, gaging, gauged, gauges, gauging",50.665,12,725
generalization,"generalisation, generalisations, generalizations",56.546,45,8.901
generalize,"generalise, generalised, generalises, generalising, generalized, generalizes, generalizing",59.029,80,8.817
genetically,,52.314,17,7.537
genetics,,53.705,23,7.146
ghost,"ghosted, ghosting, ghosts",49.342,9,8.548
globalization,globalisation,52.189,17,544
goat,goats,51.538,14,8.044
goodness,,51.122,13,8.276
goods,,53.194,21,5.826
gradient,gradients,57.599,58,8.521
gram,grams,49.85,10,7.159
grammatical,,58.317,68,7.841
graph,"graphed, graphing, graphs",61.814,152,784
grasp,"grasped, grasping, grasps",54.345,27,8.878
gravity,gravities,53.636,23,6.488
grid,grids,54.826,30,8.788
gross,"grossed, grosser, grosses, grossest, grossing",53.493,22,8.746
gut,"guts, gutted, gutting",50.773,12,8.346
habitat,habitats,56.092,41,8.092
halfway,,44.848,3,8.811
handout,handouts,42.85,2,6.464
harvest,"harvested, harvesting, harvests",56.205,42,8.819
hawk,"hawked, hawking, hawks",42.937,2,8.154
headquarter,"headquartered, headquartering, headquarters",47.357,5,734
hedge,"hedged, hedges, hedging",48.823,8,7.263
helix,"helices, helixes",51.735,15,5.782
hepatitis,,52.6,18,5.255
herbicide,herbicides,46.057,4,5.087
hierarchy,hierarchies,57.217,53,8.814
hip,"hipped, hips",51.859,15,5.908
historically,,53.895,25,9.363
homework,,44.385,3,6.791
horizon,horizons,53.834,24,8.727
horizontal,horizontals,58.267,67,7.553
hormone,hormones,56.006,40,4.216
hydrogen,,54.123,26,6.883
identical,,59.107,81,8.939
identification,identifications,59.821,96,8.097
ideology,ideologies,58.025,63,7.745
illusion,illusions,52.847,19,7.033
immune,,56.868,49,5.585
impact,"impacted, impacting, impacts",63.491,223,9.426
implicit,,56.895,49,8.496
importantly,,54.544,28,9.183
impulse,impulses,54.585,29,7.986
incidence,incidences,58.423,70,7.332
incline,"inclined, inclines, inclining",52.424,17,7.578
inclusion,,57.292,54,791
incredible,,44.861,3,8.433
incredibly,,43.128,2,7.714
incumbent,incumbents,50.169,10,4.165
independently,,56.717,47,9.279
indicator,indicators,57.895,62,9.071
indifference,,48.72,7,6.389
indigenous,,56.734,47,7.638
indirect,,56.678,47,8.538
individually,,52.951,20,9.608
induce,"induced, induces, inducing",61.652,146,6.917
induction,,58.419,69,7.343
industrialization,industrialisation,50.403,11,8.423
industrialize,"industrialise, industrialised, industrialises, industrialising, industrialized, industrializes, industrializing",49.284,8,7.247
inequality,inequalities,59.111,81,7.801
inevitably,,53.959,25,8.965
infect,"infected, infecting, infects",58.764,75,5.584
infectious,,52.98,20,6.024
inference,inferences,57.261,53,894
inferior,inferiors,53.928,25,772
infinite,,57.52,56,7.727
infinity,infinities,52.696,19,4.949
influential,,54.616,29,8.161
informal,,56.448,44,8.955
inhibit,"inhibited, inhibiting, inhibits",57.126,52,5.614
inhibition,inhibitions,56.553,45,6.631
initiate,"initiated, initiates, initiating",57.151,52,7.849
initiation,initiations,53.836,24,7.325
inject,"injected, injecting, injects",54.077,26,7.819
injection,injections,57.053,51,7.087
innate,,51.607,14,8.893
insect,insects,57.042,51,8.573
insert,"inserted, inserting, inserts",55.717,37,8.738
instability,instabilities,57.974,63,7.541
instinct,instincts,49.319,9,7.739
integral,integrals,58.063,64,6.659
integration,integrations,59.263,84,8.926
intensity,intensities,59.938,99,7.825
intensive,,54.231,26,8.824
interact,"interacted, interacting, interacts",58.098,65,9.386
interestingly,,54.84,30,9.526
interface,"interfaced, interfaces, interfacing",57.726,59,7.525
interfere,"interfered, interferes, interfering",53.514,22,8.829
intermediate,"intermediated, intermediates",58.719,74,9.136
interrupt,"interrupted, interrupting, interrupts",51.719,15,9.885
interval,intervals,61.62,145,6.598
intervene,"intervened, intervenes",53.781,24,9.194
interviewer,interviewers,50.812,12,6.827
invade,"invaded, invades, invading",50.843,12,8.984
invasion,invasions,53.966,25,912
inversion,inversions,53.107,20,6.426
invert,"inverted, inverting, inverts",52.083,16,9.469
ion,ions,62.179,165,353
irrelevant,,53.103,20,9.268
irrigation,,52.903,20,7.543
jazz,"jazzed, jazzes, jazzing",51.263,13,6.465
junior,juniors,49.179,8,8.123
justification,justifications,55.19,33,8.533
kidney,kidneys,52.784,19,4.214
kilometer,"kilometers, kilometre, kilometres",49.137,8,546
lab,labs,50.397,11,776
lateral,laterals,57.063,51,7.084
layout,layouts,51.506,14,8.571
leaf,"leafed, leafing, leafs",57.651,58,8.036
lecturer,lecturers,47.917,6,7.238
legend,legends,51.016,13,7.746
legitimate,"legitimated, legitimates, legitimating",54.705,30,8.643
leisure,,52.396,17,8.209
lever,"levered, levering, levers",46.508,4,7.971
lexical,,60.617,115,638
liable,,49.828,10,5.039
lifestyle,lifestyles,52.098,16,8.994
lifetime,lifetimes,55.186,33,9.501
likelihood,,57.367,55,8.373
likewise,,55.462,35,911
limb,"limbed, limbs",53.429,22,8.297
linear,,62.119,163,7.191
linguistic,,61.741,149,8.055
linguistics,,56.015,40,8.646
liter,"liters, litre, litres",47.433,6,7.597
liver,livers,55.577,36,476
locally,,56.502,45,9.086
locus,"loci, locuses",58.635,73,6.736
logical,,57.032,50,9.042
longitudinal,,56.996,50,877
loop,"looped, looping, loops",56.846,48,7.402
lump,"lumped, lumping, lumps",47.72,6,9.195
lung,lungs,55.688,37,5.664
machinery,machineries,52.466,18,9.255
magnetic,magnetics,58.756,75,3.962
magnitude,magnitudes,57.307,54,4.386
mall,malls,41.244,1,3.659
manipulate,"manipulated, manipulates, manipulating",54.561,29,983
manipulation,manipulations,55.407,35,9.523
manual,manuals,55.259,34,9.584
manuscript,manuscripts,58.407,69,4.776
marble,"marbled, marbles",49.802,10,7.575
marginal,,56.96,50,7.715
marker,markers,60.234,106,818
marrow,,49.339,9,4.538
maternal,,58.691,74,7.085
mathematical,,57.388,55,876
matrix,"matrices, matrixes",62.166,165,8.347
maximize,"maximise, maximised, maximises, maximising, maximized, maximizes, maximizing",55.557,36,8.946
meaningful,,54.942,31,8.906
mechanic,mechanics,53.094,20,7.082
mechanical,,56.076,41,843
media,,50.882,12,8.215
mediate,"mediated, mediates, mediating",57.953,62,665
membrane,membranes,60.675,117,4.695
memorize,"memorise, memorised, memorises, memorising, memorized, memorizes, memorizing",45.828,4,8.905
mentor,"mentored, mentoring, mentors",47.731,6,7.554
mercury,,47.366,5,6.236
merge,"merged, merges, merging",54.192,26,9.255
messenger,messengers,49.576,9,7.606
metabolism,,54.205,26,5.108
metaphor,metaphors,55.593,36,6.544
methodology,methodologies,57.595,57,8.641
micro,,48.505,7,8.998
mid,,57.909,62,7.867
migrate,"migrated, migrates, migrating",52.697,19,8.767
migration,migrations,57.39,55,8.938
millimeter,"millimeters, millimetre, millimetres",44.916,3,6.104
mineral,minerals,55.789,38,6.518
minimal,minimals,58.279,67,8.687
minimize,"minimise, minimised, minimises, minimising, minimized, minimizes, minimizing",56.638,46,8.573
minus,minuses,50.361,11,3.364
missile,missiles,45.967,4,6.937
mobility,,55.412,35,8.175
modification,modifications,57.163,52,8.229
mole,moles,46.893,5,7.805
molecular,moleculars,61.019,126,7.418
molecule,molecules,60.305,107,6.894
momentum,"momenta, momentums",54.043,25,4.174
monetary,,55.471,35,6.737
monkey,"monkeyed, monkeying, monkeys",56.124,41,802
monopoly,monopolies,52.128,16,7.579
morality,,54.008,25,758
morphological,,57.069,51,6.219
morphology,morphologies,57.76,60,8.268
mortality,,59.671,93,8.164
motif,motifs,54.158,26,8.002
motive,motives,54.153,26,7.111
multi,,44.385,3,9.263
multinational,multinationals,47.306,5,5.437
multiply,"multiplied, multiplies, multiplying",54.019,25,7.067
mutation,mutations,59.374,87,6.244
myth,myths,55.034,32,8.013
naked,,48.731,7,9.359
namely,,58.728,75,8.714
nasty,"nastier, nastiest",43.172,2,7.889
nationalism,,55.394,35,7.238
neat,"neater, neatest",46.535,5,9.081
necessity,necessities,55.614,36,8.406
neo,,43.106,2,6.806
nest,"nested, nesting, nests",54.507,28,8.741
neural,neurals,58.082,64,7.287
neuron,"neurone, neurones, neurons",60.646,116,5.967
neutral,neutrals,56.985,50,9.043
nicely,,47.725,6,8.826
niche,niches,51.415,14,9.615
nitrogen,nitrogens,55.37,34,8.022
noble,"nobler, nobles, noblest",52.34,17,796
node,nodes,59.781,95,7.042
noisy,"noisier, noisiest",47.358,5,4.145
nominal,,55.727,37,8.176
non,,57.257,53,9.415
nonetheless,,53.026,20,8.985
nonlinear,,57.795,60,5.734
norm,norms,59.005,80,7.154
notation,notations,57.412,55,7.211
novice,novices,47.123,5,7.186
nucleus,nuclei,59.324,86,7.257
null,"nulled, nulling, nulls",56.472,44,8.094
numerical,numericals,58.742,75,7.445
nutrient,nutrients,56.497,45,5.156
objection,objections,54.944,31,7.648
obscure,"obscured, obscures, obscuring",53.555,23,8.336
observer,observers,56.553,45,0.78
obtain,"obtained, obtaining, obtains",66.519,449,7.531
occupation,occupations,56.383,43,8.261
occurrence,occurrences,58.698,74,8.593
offspring,,55.636,37,7.907
onset,,59.314,85,6.151
onwards,,51.795,15,8.331
optical,opticals,53.472,22,0.66
optimal,optimals,59.411,87,7.806
optimum,,52.828,19,8.778
oral,orals,57.91,62,5.883
organ,organs,57.603,58,584
organism,organisms,58.219,66,7.014
orient,"oriented, orienting, orients",55.736,37,9.035
orientation,orientations,59.133,82,8.098
oscillation,oscillations,54.585,29,6.903
outer,,57.423,55,8.056
outlet,outlets,50.88,12,9.034
overhead,overheads,51.165,13,4.496
overlap,"overlapped, overlapping, overlaps",58.186,66,9.286
overview,overviews,56.836,48,8.886
oxidize,"oxidise, oxidised, oxidises, oxidising, oxidized, oxidizes, oxidizing",47.402,5,6.202
oxygen,,56.89,49,7.492
painful,,50.411,11,8.248
par,"parred, parring, pars",62.339,171,5.925
paradigm,paradigms,57.547,57,8.911
paradox,paradoxes,52.818,19,8.478
parameter,parameters,64.369,273,6.943
parcel,"parceled, parceling, parcelled, parcelling, parcels",47.921,6,7.278
pardon,"pardoned, pardoning, pardons",45.047,3,8.123
parental,,56.59,46,7.139
parenthesis,parentheses,52.347,17,7.307
partial,,59.709,94,8.777
partially,,56.781,48,9.002
particle,particles,59.587,91,6.445
partition,"partitioned, partitioning, partitions",57.154,52,7.249
pathway,pathways,59.216,83,5.128
peasant,peasants,55.231,33,7.515
periodic,periodics,57.181,52,7.965
peripheral,peripherals,55.789,38,6.894
pest,pests,53.215,21,5.434
pesticide,pesticides,49.732,9,5.833
phenomenal,,47.322,5,6.039
philosopher,philosophers,54.954,31,7.254
philosophical,,56.777,48,7.458
phonological,,59.327,86,7.183
phosphate,phosphates,53.639,23,4.663
photographic,photographics,47.808,6,7.986
physically,,53.993,25,9.767
physician,physicians,57.936,62,8.864
physics,,53.44,22,7.527
physiological,,56.681,47,7.126
pi,,56.158,41,7.709
planner,planners,50.802,12,6.819
plantation,plantations,51.848,15,5.598
plausible,,55.37,34,9.036
plug,"plugged, plugging, plugs",48.755,8,7.262
plural,plurals,55.504,36,6.676
polar,,54.032,25,706
pole,"poled, poles, poling",53.63,23,7.263
politically,,53.986,25,8.357
portfolio,portfolios,52.133,16,6.059
portray,"portrayed, portraying, portrays",53.275,21,8.334
portrayal,portrayals,48.265,7,6.195
positively,,54.762,30,9.302
poster,posters,47.885,6,7.683
postgraduate,postgraduates,45.287,3,7.296
potassium,,52.332,17,8.101
powder,"powdered, powdering, powders",48.592,7,8.903
practitioner,practitioners,56.391,44,8.998
pragmatic,pragmatics,56.341,43,7.758
pre,,56.759,47,6.127
precede,"preceded, precedes, preceding",59.163,82,8.294
precipitate,"precipitated, precipitates, precipitating",50.42,11,5.078
precipitation,,50.865,12,8.163
predator,predators,52.749,19,7.087
prediction,predictions,58.96,79,8.132
predominantly,,54.591,29,8.983
prejudice,"prejudiced, prejudices, prejudicing",51.8,15,7.257
preliminary,preliminaries,56.779,48,8.812
presume,"presumed, presumes, presuming",53.406,22,9.196
prevalence,,59.103,81,6.882
prey,"preyed, preying, preys",52.389,17,8.427
primer,primers,54.348,27,6.952
primitive,primitives,55.994,40,9.364
probe,"probed, probes, probing",57.391,55,848
problematic,,56.034,40,8.827
processor,processors,51.123,13,7.037
productive,,55.682,37,8.951
productivity,,56.319,43,784
profound,,53.723,24,9.517
progression,progressions,54.61,29,8.002
progressive,,56.413,44,8.819
projection,projections,58.258,67,8.299
prominent,,56.743,47,9.076
pronounce,"pronounced, pronounces, pronouncing",54.951,31,9.357
proposition,"propositioned, propositioning, propositions",59.126,82,7.118
protocol,protocols,56.421,44,8.911
proton,protons,53.672,23,6.647
psychiatric,psychiatrics,56.65,46,6.415
psychologist,psychologists,52.95,20,524
psychology,psychologies,57.534,57,4.573
publish,"published, publishes, publishing",62.897,195,9.039
pulse,"pulsed, pulses, pulsing",59.014,80,7.764
punch,"punched, punches, punching",45.325,3,8.684
punish,"punished, punishes, punishing",51.174,13,8.473
punishment,punishments,54.498,28,7.758
purely,,56.067,40,9.426
